ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,ACCELERATE
-1,6.52091,4.611073,6.489857,4.588929,15.98893,0.2756973,3.105008,0.4172285,ACCELERATE
-1,6.520908,4.611071,6.489859,4.588931,15.98893,0.2757084,3.105008,0.4281359,ACCELERATE
-1,6.520908,4.611071,6.489859,4.588931,15.98893,0.2757134,3.105008,0.4336774,ACCELERATE
-1,6.520902,4.611067,6.489864,4.588934,15.98893,0.275742,3.105006,0.5011256,ACCELERATE
-1,6.520897,4.611063,6.48987,4.588938,15.98894,0.2757462,3.105008,0.6002392,ACCELERATE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757454,3.105016,0.706439,ACCELERATE
-1,6.520884,4.611053,6.489883,4.588948,15.98895,0.2757447,3.105031,0.8022938,ACCELERATE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757441,3.105044,0.9045653,ACCELERATE
-1,6.520869,4.611043,6.489898,4.588958,15.98896,0.2757446,3.105062,1.003226,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.105079,1.103469,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757446,3.105098,1.201544,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757446,3.105118,1.301673,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757439,3.105134,1.40028,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.105156,1.504937,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.105177,1.60294,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105195,1.701635,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105211,1.800899,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.105233,1.905565,ACCELERATE
