ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98912,0.275615,3.10507,0.3733333,LEFT_ACCELERATE
-1,6.520612,4.610885,6.490156,4.589117,15.98912,0.2756948,3.105072,0.4152792,LEFT_ACCELERATE
-1,6.520604,4.610879,6.490163,4.589122,15.98913,0.2757196,3.105073,0.4412136,LEFT_ACCELERATE
-1,6.520597,4.610874,6.49017,4.589127,15.98913,0.275727,3.105073,0.4539433,LEFT_ACCELERATE
-1,6.520592,4.61087,6.490175,4.589131,15.98913,0.275742,3.105078,0.5007982,LEFT_ACCELERATE
-1,6.52057,4.610854,6.490197,4.589147,15.98915,0.2757466,3.105092,0.6009994,LEFT_ACCELERATE
-1,6.520547,4.610838,6.490219,4.589163,15.98916,0.2757455,3.105114,0.7050051,LEFT_ACCELERATE
-1,6.520527,4.610823,6.49024,4.589179,15.98918,0.2757434,3.105121,0.8022618,LEFT_ACCELERATE
-1,6.5205,4.610803,6.490268,4.589199,15.9892,0.2757431,3.105126,0.9066478,LEFT_ACCELERATE
-1,6.520474,4.610785,6.490293,4.589216,15.98922,0.2757448,3.105136,1.005254,NONE
-1,6.520472,4.610784,6.490295,4.589218,15.98922,0.2757452,3.105156,1.104415,ACCELERATE
-1,6.520472,4.610784,6.490295,4.589218,15.98922,0.2757444,3.105174,1.203178,ACCELERATE
-1,6.52047,4.610783,6.490297,4.589219,15.98922,0.2757446,3.105192,1.301627,LEFT_ACCELERATE
-1,6.520472,4.610784,6.490295,4.589218,15.98922,0.2757427,3.105198,1.404728,LEFT_ACCELERATE
-1,6.520473,4.610785,6.490294,4.589217,15.98922,0.2757445,3.10521,1.501578,LEFT_ACCELERATE
-1,6.520472,4.610784,6.490295,4.589218,15.98922,0.2757437,3.105215,1.605396,LEFT_ACCELERATE
-1,6.520472,4.610784,6.490295,4.589218,15.98922,0.2757436,3.105215,1.701006,LEFT_ACCELERATE
-1,6.520472,4.610784,6.490295,4.589218,15.98922,0.2757435,3.105217,1.804853,NONE
-1,6.520473,4.610785,6.490294,4.589217,15.98922,0.2757435,3.105217,1.900704,NONE
-1,6.520472,4.610784,6.490295,4.589218,15.98922,0.2757436,3.105217,2.006011,NONE
-1,6.52047,4.610783,6.490297,4.589219,15.98922,0.2757437,3.105225,2.100401,NONE
-1,6.520473,4.610785,6.490294,4.589217,15.98922,0.2757443,3.105232,2.202744,NONE
-1,6.520472,4.610784,6.490295,4.589218,15.98922,0.2757435,3.105234,2.302923,LEFT_ACCELERATE
-1,6.520471,4.610783,6.490297,4.589219,15.98922,0.2757434,3.105237,2.400448,NONE
-1,6.520472,4.610784,6.490295,4.589218,15.98922,0.2757439,3.10524,2.502122,NONE
-1,6.520472,4.610784,6.490295,4.589218,15.98922,0.275744,3.105248,2.604189,NONE
-1,6.520472,4.610784,6.490295,4.589218,15.98922,0.2757433,3.105248,2.704981,LEFT_ACCELERATE
-1,6.520473,4.610785,6.490294,4.589217,15.98922,0.2757434,3.105249,2.804582,LEFT_ACCELERATE
-1,6.520472,4.610784,6.490295,4.589218,15.98922,0.2757451,3.105263,2.905951,ACCELERATE
-1,6.520472,4.610784,6.490295,4.589218,15.98922,0.2757455,3.105285,3.003621,LEFT_ACCELERATE
-1,6.635543,4.613477,6.381306,4.587814,15.98668,0.2757261,3.136438,3.102347,LEFT_ACCELERATE
-1,6.997907,4.644032,6.093062,4.573342,15.96282,0.2757102,3.308126,3.202163,LEFT_ACCELERATE
