A,B,C,D,E,F,G,H,I,action
-1,8.80285,6.980415,3.40196,2.219233,12.93992,0.2792057,-28.38117,20.104,LEFT_ACCELERATE
-1,9.307799,7.158718,2.979094,2.046734,13.08564,0.2791884,-26.88619,20.20507,LEFT_ACCELERATE
-1,9.592669,7.304192,2.803608,1.893583,13.14419,0.2791731,-25.40043,20.30494,LEFT_ACCELERATE
-1,9.524263,7.355016,2.870286,1.853072,13.21679,0.2791641,-23.93075,20.40375,ACCELERATE
-1,9.388885,7.303929,3.033886,1.923349,13.3209,0.2791614,-22.4298,20.50477,ACCELERATE
-1,9.236931,7.20938,3.219157,2.040038,13.4364,0.279161,-21.01342,20.60018,ACCELERATE
-1,9.063287,7.075221,3.431998,2.174401,13.57041,0.2791607,-19.51339,20.70129,ACCELERATE
-1,8.884104,6.936135,3.652229,2.313606,13.70909,0.2791592,-18.04478,20.80033,ACCELERATE
-1,8.688388,6.783823,3.893134,2.465994,13.86097,0.2791602,-16.4922,20.90506,ACCELERATE
-1,8.502275,6.638767,4.122401,2.611092,14.00704,0.2791601,-15.03176,21.00359,ACCELERATE
-1,8.310057,6.488818,4.359293,2.761064,14.15435,0.2791595,-13.57947,21.10159,ACCELERATE
-1,8.112539,6.334652,4.602772,2.915241,14.30826,0.2791594,-12.07634,21.20302,ACCELERATE
-1,7.920024,6.184339,4.840109,3.065554,14.45851,0.2791605,-10.61807,21.30145,ACCELERATE
-1,7.724161,6.031378,5.081586,3.218512,14.61044,0.2791599,-9.149549,21.40056,ACCELERATE
-1,7.525491,5.876205,5.326524,3.373677,14.76616,0.2791601,-7.648461,21.50188,ACCELERATE
-1,7.319168,5.715044,5.580887,3.534829,14.92458,0.2791598,-6.124181,21.60476,ACCELERATE
-1,7.156847,5.565705,5.781272,3.679998,15.06975,0.2791601,-4.699824,21.70088,LEFT_ACCELERATE
-1,7.374411,5.451398,5.567695,3.758092,15.1551,0.2791628,-3.185498,21.80281,LEFT_ACCELERATE
-1,8.162731,5.517794,4.999897,3.691121,15.07932,0.2791722,-1.663034,21.90532,LEFT_ACCELERATE
-1,8.746756,5.686861,4.637053,3.542919,14.92084,0.2791657,-0.2545094,22.00051,LEFT_ACCELERATE
-1,9.02348,5.859529,4.407532,3.371095,14.75039,0.2791629,1.29755,22.10535,ACCELERATE
8.306792,4.502523,5.162352,-1,5.66951,16.26175,0.2791769,11.25698,22.8046,LEFT_ACCELERATE
6.752367,3.663963,4.203746,-1,6.633448,17.07588,0.2791553,12.51946,22.90559,LEFT_ACCELERATE
6.655017,3.094729,3.260383,-1,6.984367,17.70547,0.2791826,13.7847,23.00069,LEFT_ACCELERATE
8.359376,2.783468,2.574335,-1,7.05204,18.15667,0.2792061,15.2423,23.10354,LEFT_ACCELERATE
-1,2.902075,2.305055,-1,6.964592,18.31289,0.2792166,16.72162,23.2039,LEFT_ACCELERATE
-1,3.558017,2.395709,9.19815,6.814783,18.19253,0.2792182,18.14595,23.30046,LEFT_ACCELERATE
-1,5.313698,2.867101,7.53175,6.587611,17.7765,0.2792204,19.61653,23.40386,LEFT_ACCELERATE
2.854896,1.780396,2.252,-1,9.465774,18.89358,0.2791801,30.55499,24.20391,LEFT_ACCELERATE
1.295796,0.8414716,1.100211,-1,-1,19.82899,0.2791541,31.63704,24.30038,LEFT_ACCELERATE
2.409349,0.8211809,0.7650403,-1,8.887621,19.87579,0.2793311,32.89129,24.40462,LEFT_ACCELERATE
6.643728,0.9640203,0.7336701,-1,8.493065,19.86043,0.2790971,34.13393,24.50398,LEFT_ACCELERATE
-1,1.550568,0.9732046,-1,8.284705,19.6131,0.2792406,35.39894,24.60466,LEFT_ACCELERATE
-1,2.878608,1.498807,9.230935,8.114873,19.1277,0.2791952,36.61811,24.70524,LEFT_ACCELERATE
-1,5.232925,2.336162,7.644414,7.964428,18.42346,0.2792269,37.73447,24.80481,LEFT_ACCELERATE
-1,8.772172,3.539574,6.357487,7.820985,17.50165,0.279203,38.73386,24.90595,ACCELERATE
-1,8.086493,5.607013,4.747911,3.73262,14.2381,0.2791742,43.13915,25.30186,LEFT_ACCELERATE
-1,7.904585,5.768804,4.813033,3.487193,13.59394,0.2791563,44.48896,25.40558,LEFT_ACCELERATE
-1,8.32047,6.026575,4.327351,3.260376,12.80988,0.2791809,45.7356,25.50675,LEFT_ACCELERATE
-1,9.114487,6.42057,3.610179,2.955813,11.90043,0.2792045,46.77431,25.60118,LEFT_ACCELERATE
-1,-1,7.047422,2.753987,2.503381,10.72033,0.2792169,47.693,25.70337,LEFT_ACCELERATE
-1,9.298037,8.219962,1.898286,1.050566,5.715201,0.2791945,50.8366,26.10538,LEFT_ACCELERATE
-1,8.401504,8.058229,4.140117,1.481442,4.720355,0.2791485,51.84433,26.20057,LEFT_ACCELERATE
-1,7.950188,7.647607,6.512482,1.938909,3.582177,0.2791696,52.83703,26.30216,LEFT_ACCELERATE
-1,7.760712,7.225,6.060891,2.257577,2.337227,0.2791939,53.64098,26.40198,LEFT_ACCELERATE
-1,7.892058,6.935219,4.91595,2.398619,0.976198,0.279216,54.20109,26.50124,LEFT_ACCELERATE
-1,6.48454,5.670802,4.005856,2.390992,-0.4827362,0.2792184,54.49326,26.60172,LEFT_ACCELERATE
-1,7.384687,6.642282,5.693536,2.91003,-4.898569,0.2791878,55.22375,26.90401,LEFT_ACCELERATE
-1,6.595777,6.285585,7.536417,3.476113,-6.279882,0.2791492,55.70374,27.0023,LEFT_ACCELERATE
-1,6.443857,5.731471,7.252384,3.805804,-7.732908,0.2791706,56.08722,27.10338,LEFT_ACCELERATE
-1,3.665587,2.903637,-1,-1,-9.217775,0.2791941,56.26077,27.20407,LEFT_ACCELERATE
-1,1.889658,1.414945,-1,-1,-10.7215,0.2792142,56.15761,27.30574,LEFT_ACCELERATE
-1,4.047698,3.52676,-1,-1,-12.10492,0.279218,55.78958,27.40239,LEFT_ACCELERATE
-1,6.5219,4.61104,6.488874,4.588961,15.98896,0.2757437,3.105106,1.403385,ACCELERATE
-1,6.5219,4.61104,6.488874,4.588961,15.98896,0.2757433,3.105106,1.500489,LEFT_ACCELERATE
-1,6.521899,4.61104,6.488874,4.588961,15.98896,0.2757447,3.105119,1.602466,LEFT_ACCELERATE
-1,6.521899,4.61104,6.488874,4.588961,15.98896,0.2757433,3.105119,1.702662,LEFT_ACCELERATE
-1,6.521899,4.61104,6.488874,4.588961,15.98896,0.2757448,3.105135,1.801379,LEFT_ACCELERATE
-1,6.521899,4.61104,6.488874,4.588961,15.98896,0.2757439,3.10514,1.900979,LEFT_ACCELERATE
-1,6.521899,4.61104,6.488874,4.588961,15.98896,0.2757433,3.10514,2.000494,LEFT_ACCELERATE
-1,6.521899,4.61104,6.488874,4.588961,15.98896,0.2757438,3.105145,2.10234,ACCELERATE
-1,6.521899,4.61104,6.488874,4.588961,15.98896,0.2757437,3.105145,2.402462,ACCELERATE
-1,6.521899,4.61104,6.488874,4.588961,15.98896,0.2757438,3.105148,2.501386,LEFT_ACCELERATE
-1,6.521899,4.61104,6.488874,4.588961,15.98896,0.2757433,3.105148,2.605618,LEFT_ACCELERATE
-1,6.521899,4.61104,6.488874,4.588961,15.98896,0.2757436,3.105152,2.702254,ACCELERATE
-1,6.521899,4.61104,6.488874,4.588961,15.98896,0.2757436,3.105152,2.803774,LEFT_ACCELERATE
-1,6.521899,4.61104,6.488874,4.588961,15.98896,0.2757436,3.105152,2.903414,LEFT_ACCELERATE
-1,6.521899,4.61104,6.488874,4.588961,15.98896,0.2757441,3.105158,3.002337,LEFT_ACCELERATE
-1,6.521901,4.61104,6.488871,4.588961,15.98896,0.2757397,3.110554,3.101585,ACCELERATE
-1,6.521973,4.61105,6.488801,4.588952,15.98895,0.2757129,3.225441,3.200867,ACCELERATE
-1,6.522093,4.611081,6.48868,4.58892,15.98892,0.2757011,3.485313,3.301187,ACCELERATE
-1,6.522256,4.611136,6.488519,4.588865,15.98886,0.2756964,3.886766,3.402447,ACCELERATE
-1,6.522488,4.611236,6.488286,4.588766,15.98876,0.278281,4.399886,3.501356,ACCELERATE
-1,6.522935,4.611402,6.48784,4.5886,15.98859,0.2808151,5.051359,3.60413,ACCELERATE
-1,6.52324,4.611585,6.487536,4.588417,15.98841,0.2786497,5.812169,3.705146,ACCELERATE
-1,6.523609,4.611786,6.487168,4.588215,15.9882,0.2794985,6.663193,3.804597,ACCELERATE
-1,6.601835,4.617791,6.411743,4.582746,15.98134,0.279055,7.57866,3.901211,LEFT_ACCELERATE
-1,6.848632,4.667973,6.194216,4.538016,15.93217,0.2792393,8.61836,4.002439,ACCELERATE
-1,6.923747,4.71862,6.124472,4.487405,15.88138,0.2791315,9.709832,4.101513,ACCELERATE
-1,6.997712,4.769386,6.055574,4.436616,15.8309,0.2791857,10.91254,4.204475,ACCELERATE
-1,7.065516,4.815765,5.992449,4.390226,15.78427,0.2791541,12.09206,4.300651,ACCELERATE
-1,7.139625,4.866346,5.923481,4.33964,15.73415,0.2791667,13.40494,4.403468,ACCELERATE
-1,7.212654,4.91613,5.855535,4.289855,15.68416,0.2791587,14.74312,4.504649,ACCELERATE
-1,7.285591,4.965817,5.787686,4.24017,15.63414,0.2791608,16.09918,4.604255,ACCELERATE
-1,7.359769,5.016329,5.718694,4.189662,15.58437,0.2791588,17.45918,4.701769,ACCELERATE
-1,7.437778,5.069434,5.646146,4.136561,15.53111,0.2791593,18.92147,4.804478,ACCELERATE
