A,B,C,D,E,F,G,H,I,action
-1,6.52091,4.611073,6.489857,4.588929,15.98893,0.2757001,3.105008,0.4193177,ACCELERATE
-1,6.520907,4.611071,6.489859,4.588931,15.98893,0.275717,3.105008,0.4377502,ACCELERATE
-1,6.520906,4.61107,6.489861,4.588932,15.98893,0.2757219,3.105007,0.4452603,ACCELERATE
-1,6.520902,4.611067,6.489865,4.588934,15.98894,0.2757427,3.105007,0.5062435,ACCELERATE
-1,6.520895,4.611062,6.489872,4.588939,15.98894,0.275746,3.105007,0.6008258,ACCELERATE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757452,3.105014,0.7037386,ACCELERATE
-1,6.520883,4.611053,6.489885,4.588949,15.98895,0.2757457,3.105034,0.8017371,ACCELERATE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757445,3.105054,0.9015868,ACCELERATE
-1,6.520871,4.611044,6.489897,4.588957,15.98896,0.2757442,3.105073,1.003738,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105091,1.10093,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757447,3.105115,1.20301,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105136,1.300893,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105156,1.405364,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105174,1.50073,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757448,3.105194,1.604055,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757449,3.105219,1.705248,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757446,3.10524,1.803757,LEFT_ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757432,3.105241,1.901162,LEFT_ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757433,3.105243,2.001757,LEFT_ACCELERATE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757444,3.10526,2.304334,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275745,3.105277,2.40293,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757447,3.105299,2.505047,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757447,3.105319,2.604293,LEFT_ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757429,3.105322,2.706499,LEFT_ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105332,2.802994,LEFT_ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757431,3.105337,2.904366,LEFT_ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105344,3.000388,LEFT_ACCELERATE
-1,6.520888,4.611039,6.489879,4.588962,15.98896,0.2757266,3.145837,3.103355,ACCELERATE
-1,6.520943,4.61103,6.489824,4.588972,15.98897,0.2757061,3.322258,3.200895,ACCELERATE
-1,6.521018,4.611023,6.489749,4.588978,15.98898,0.2756979,3.662685,3.306019,ACCELERATE
-1,6.521174,4.611027,6.489594,4.588974,15.98897,0.287035,4.087637,3.400343,ACCELERATE
-1,6.52139,4.611063,6.489378,4.588938,15.98893,0.2785276,4.683047,3.504782,ACCELERATE
-1,6.651667,4.621908,6.366006,4.579475,15.97682,0.2801356,5.355898,3.602352,LEFT_ACCELERATE
-1,6.984888,4.683758,6.089532,4.528526,15.91825,0.2788523,6.155204,3.702961,LEFT_ACCELERATE
-1,7.086647,4.746929,5.999472,4.465839,15.85623,0.2793741,7.042016,3.802368,ACCELERATE
-1,7.176037,4.807411,5.918813,4.4053,15.79596,0.2790766,8.030014,3.903009,ACCELERATE
-1,7.127284,4.88733,5.925771,4.316879,15.71325,0.2791307,10.1961,4.100657,ACCELERATE
-1,7.170771,4.917358,5.88477,4.286838,15.68267,0.2791789,11.38807,4.200551,ACCELERATE
-1,7.223423,4.953164,5.835307,4.251049,15.64656,0.2791566,12.69954,4.30549,ACCELERATE
-1,7.277495,4.990031,5.784487,4.214193,15.60985,0.2791636,13.98242,4.404285,ACCELERATE
-1,7.333996,5.028611,5.731369,4.175621,15.57133,0.2791577,15.29947,4.502584,ACCELERATE
-1,7.394788,5.070155,5.674212,4.134086,15.5287,0.2791597,16.73676,4.606971,ACCELERATE
-1,7.456913,5.112628,5.615797,4.091618,15.48694,0.2791587,18.13285,4.706061,ACCELERATE
